Target Path	Use Case Name	Description
/	Project List Display	Display a list of monitored projects
/	Project Selection	Select a specific project to navigate to detailed view
/projects/[projectName]	Project Detail Display	Display basic information of the selected project (name, session count, etc.)
/projects/[projectName]	Session List Display	Display a list of sessions within the project
/projects/[projectName]	Session Selection	Select a specific session to navigate to the chat room
/projects/[projectName]/sessions/[sessionId]	Chat History Display	Display message history of the selected session
/projects/[projectName]/sessions/[sessionId]	Message Sending	Send new messages
/projects/[projectName]/sessions/[sessionId]	Real-time Display	Update display with new messages in real-time
/projects/[projectName]/sessions/[sessionId]	Existing Session Integration	Send messages to existing sessions via Claude Code SDK
/projects/[projectName]/sessions/[sessionId]	Streaming Display	Display streaming responses from Claude Code SDK
/projects/[projectName]/sessions/new	New Session Creation	Create a new session and start message sending
/projects/[projectName]/sessions/new	Directory Specification	Specify execution directory to create a new session
/*	Mobile-Responsive Display	Responsive design display optimized for smartphones and tablets
/*	Navigation	Hierarchical navigation: Project → Session → Chat Room
/*	User Message Display	Display messages sent by users
/*	Assistant Message Display	Display messages returned by Claude Code
/*	Timestamp Display	Display send time for each message
/*	System Log Display	Display system-level log messages
/*	Tool Execution Result Display	Properly display results of tool usage
/*	Error Message Display	Display error messages such as parse errors and communication errors